Artist,Track,Duration,Popularity,mean_millennial_recognition,mean_gen_z_recognition,Danceability,Energy,Tempo
Barenaked Ladies,One Week,4:04,91,0.728784780163607,0.256912840246174,0.264,0.64,84.828
Mariah Carey,My All,2:17,89,0.325133395159505,0.17340330465766,0.504,0.308,113.95
Brandy,Have You Ever?,2:40,87,0.374129973438098,0.165090362744424,0.741,0.697,116.109
Keith Sweat,Nobody,3:00,86,0.127224242170308,0.109736181223851,0.358,0.284,99.796
Karyn White,Romantic,2:12,86,0.111855323160559,0.161891979188491,0.571,0.544,132.052
TLC,Creep,3:58,86,0.418878961946193,0.155975401010862,0.515,0.43,91.844
Cher,Believe,3:24,86,0.983380784635429,0.89943735309589,0.776,0.78,124.949
Smash Mouth,All Star,3:52,86,0.95183183955656,0.923792119186856,0.695,0.633,96.782
Brandy and Monica,The Boy Is Mine,2:53,86,0.597768416032035,0.338539958904409,0.795,0.63,97.998
Maxwell,Fortunate,2:20,85,0.0761790661115821,0.0595140595140595,0.64,0.663,132.77
Maxi Priest,Close To You,3:45,85,0.310513983306265,0.200892553965559,0.59,0.727,121.966
Brandy,Baby,1:37,85,0.195554631920802,0.115081215081215,0.762,0.604,168.007
Amy Grant,Baby Baby,1:37,85,0.277550239558613,0.0898077720233503,0.762,0.604,168.007
Janet Jackson,If,2:52,84,0.262589856653367,0.129665010915011,0.457,0.499,127.95
Red Hot Chili Peppers,Under The Bridge,4:24,84,0.835011970607418,0.542599841089051,0.559,0.345,84.581
Bell Biv DeVoe,Do Me!,3:56,84,0.117954821304946,0.0819912647920167,0.615,0.534,135.917
TLC,No Scrubs,3:34,83,0.893036084626158,0.667104309897821,0.743,0.675,92.909
R.E.M.,Losing My Religion,4:28,83,0.892840721984059,0.741027053588029,0.666,0.855,125.639
Jody Watley,Everything,4:05,82,0.0848311690401442,0.0809979030631205,0.704,0.225,120.006
Surface,The First Time,3:02,81,0.0757188543906455,0.0627547208006978,0.551,0.529,75.515
Janet Jackson,Runaway,9:07,80,0.264535814765688,0.0428606799256205,0.374,0.568,84.733
Janet Jackson,Alright,3:39,80,0.13590640847925,0.0536614011471697,0.796,0.766,110.034
Paula Abdul,Rush Rush,2:36,80,0.16363194896768,0.0837890424440952,0.728,0.841,125.991
Usher,My Way,3:39,80,0.233809986662367,0.156916517803726,0.818,0.913,119.986
Roxette,Joyride,2:30,80,0.264710707611886,0.152384817569711,0.788,0.898,115.96
Vanessa Williams and Brian McKnight,Love Is,4:15,80,0.206816967307087,0.0963082430083865,0.688,0.518,116.714
Nicki French,Total Eclipse Of The Heart,4:27,79,0.675354960380444,0.469983879466638,0.431,0.723,130.141
Bell Biv DeVoe,Poison,3:32,79,0.501404253925979,0.260027324015959,0.689,0.394,117.489
Savage Garden,I Want You,2:56,78,0.559080716674952,0.137609995368616,0.469,0.538,196.606
Scorpions,Wind Of Change,5:12,78,0.247488365297112,0.31258872085485,0.452,0.524,151.505
Bon Jovi,Always,3:43,78,0.49289631593794,0.345287929125138,0.174,0.742,163.378
Mark Morrison,Return Of The Mack,3:33,77,0.58369696245817,0.324459157433295,0.715,0.833,95.487
Lou Bega,Mambo No. 5,3:40,77,0.982905199568254,0.919295094006013,0.622,0.807,174.06
Roxette,It Must Have Been Love,4:18,77,0.619189185184276,0.429107820284291,0.52,0.652,80.61
Whitney Houston,I Will Always Love You,4:31,76,0.906713865872867,0.852950885796144,0.332,0.214,67.531
Celine Dion,Because You Loved Me,4:33,76,0.602934262380008,0.249018569342128,0.615,0.467,119.919
Kris Kross,Jump,3:38,76,0.72127168001214,0.551369398244398,0.811,0.823,106.929
Christina Aguilera,Genie In A Bottle,3:37,76,0.922636880055214,0.694315946898432,0.633,0.8,175.716
Mariah Carey,Honey,2:15,76,0.319619340150171,0.147477069909768,0.74,0.688,115.035
Janet Jackson,Again,3:13,76,0.230619516084587,0.13470695970696,0.664,0.738,119.973
Roxette,Dangerous,2:27,76,0.0839040082370404,0.101179366125018,0.635,0.772,119.017
Snap!,The Power,3:54,75,0.920342466677239,0.883444158444159,0.768,0.828,118.777
Alanis Morissette,Ironic,3:50,75,0.887611903629594,0.587672152194211,0.408,0.582,114.926
Extreme,More Than Words,5:34,75,0.633188261180491,0.350870297000328,0.626,0.134,91.893
Sarah McLachlan,Angel,3:55,75,0.538447266345151,0.193381433381433,0.74,0.766,170.531
Silk,Freak Me,3:28,75,0.112818597278689,0.0650494159928122,0.797,0.353,87.997
Mariah Carey,Fantasy,4:03,75,0.529657047007258,0.137453664326729,0.669,0.727,102.322
Celine Dion,My Heart Will Go On,4:40,75,0.974674479802537,0.963496768931551,0.428,0.276,99.195
Third Eye Blind,Semi-Charmed Life,4:28,75,0.731401717086385,0.439704184852745,0.64,0.864,102.026
Madonna,Take A Bow,3:49,74,0.349682542169214,0.0643631963787003,0.518,0.467,79.965
Tracy Chapman,Give Me One Reason,4:28,74,0.448424744892074,0.125487261187058,0.608,0.419,100.22
Whitney Houston,I Have Nothing,4:49,74,0.525907608622083,0.403866656415382,0.541,0.401,152.943
Janet Jackson,Come Back To Me,6:28,74,0.110958920775548,0.04494825708061,0.623,0.462,73.007
Duran Duran,Ordinary World,5:40,73,0.359052626262357,0.163532239819005,0.473,0.652,140.117
LL Cool J,Hey Lover,2:24,73,0.193915614906121,0.172708194583195,0.48,0.482,128.152
TLC,Waterfalls,4:39,73,0.846265364930983,0.496891996891997,0.769,0.505,171.804
Michael Jackson,Remember The Time,3:59,73,0.58594733073342,0.421049734242756,0.831,0.921,108.002
Vanilla Ice,Play That Funky Music,5:00,72,0.535401215614164,0.299518010507801,0.814,0.672,109.394
Mariah Carey,Someday,3:03,72,0.218315627876434,0.105322609593036,0.539,0.521,106.035
Alannah Myles,Black Velvet,4:47,72,0.621798688451372,0.395483567358567,0.75,0.366,91.138
Seal,Kiss From A Rose,4:48,72,0.877161582684379,0.51486557678368,0.584,0.533,131.745
Sugar Ray,Every Morning,3:39,72,0.636905525477456,0.259534615852951,0.833,0.679,109.917
Mariah Carey,Always Be My Baby,4:18,72,0.665111633697037,0.319952751067302,0.65,0.531,78.946
Mariah Carey,Hero,3:06,72,0.420584015173161,0.249585137085137,0.533,0.967,142.018
Shaggy,Boombastic,4:09,71,0.604677127602295,0.371050860592218,0.867,0.538,158.328
En Vogue,Hold On,3:47,71,0.193046304694698,0.0785707818228144,0.777,0.414,100.002
Sheryl Crow,All I Wanna Do,4:32,71,0.75842629593559,0.329596082557659,0.82,0.528,120.089
Meredith Brooks,Bitch,5:10,71,0.57331355419616,0.18246803776876,0.587,0.698,133.954
